BRO&N;Закуски;359b6c57-8014-3645-7710-a23a42ed3546
BRO&N;Салаты;ddaf0c38-2f66-4a2f-7da2-e6bd2c08e387
BRO&N;Пицца 22 см;d94f690e-d90d-7adb-80ca-3c8dacdd4de6
BRO&N;Пицца 35 см;df7e4046-8a68-dd17-4b93-2c34a4c4837c
BRO&N;Супы;ea122f21-237d-4eb8-af8f-42ab121c577b
BRO&N;Домашняя паста и равиоли;adef66e9-10b9-61a1-173d-a064b33e0bfe
BRO&N;Бургеры;7a9e5a14-64fd-0781-1d54-207612634f76
BRO&N;Горячие блюда;2903d9a7-3454-b8ec-e4f2-b3d65752c45f
BRO&N;Гарниры;c131a32c-a711-5774-5559-b4864599a66c
BRO&N;Соусы;36cf6db5-5e5b-708b-2078-3c94e35b0fcf
BRO&N;Десерты;f21c30dd-6f8e-aa71-4047-f3dbff346015
BRO&N;Круассаны;210c02ee-6fcc-637c-977f-4db965ff1fe5
BRO&N;Напитки;05054b27-b3dc-1043-6bc5-edc671e952cf
Шоколадница;Комбо;70f8e8f4-8a2e-92ac-26b4-d29a87537e52
Шоколадница;Shoko Go;1c0fa19b-987c-2ef0-09c1-33be689fe573
Шоколадница;Завтраки весь день;0b4d5a28-5c1f-9d16-0c1e-0aac5420585a
Шоколадница;Конструктор завтраков;0de2b0c1-7297-4676-32fb-801bd16c82c0
Шоколадница;Кофе и чай;d282bf4e-c348-03e2-3b68-d4e5ebe624ac
Шоколадница;Блинчики;95030e61-9a71-f814-b73e-1eaa92e6b35f
Шоколадница;Горячие блюда;6874227f-8565-3dd7-3b49-03f173baa73a
Шоколадница;Сэндвичи;bc244f65-03ea-5676-0bc4-2ef9e660a342
Шоколадница;Супы;e27e8ff1-caf3-8088-d6c5-c0dcc8cbd876
Шоколадница;Салаты;f4ebf4fb-a8b8-8414-d192-c95f66d681db
Шоколадница;Только в доставке;a232686e-2707-8269-4f3f-958e562c7b9d
